"CITATIONS","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK TYPE","ROCK CLASS","ROCK TEXTURE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[3992]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE/ARGENTINA / CERRO LEON MUERTO / PACIFIC OCEAN","","-25.45","-25.45","-68.47","-68.47","SAE","","","s 166A-LEON-1-33","VOL","/ NOT GIVEN [3992] ","","","","","","53.22","1.1","","18.74","","","","8.62","7.82","3.66","0.17","","1.39","3.53","0.34","","","","","","","","","","","","","","","","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","18","","","24","","","","21","","","","","43","558","20","145","12","","","","","","","","","","","","","436","18","42","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78852",
"[3992]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE/ARGENTINA / CERRO LEON MUERTO / PACIFIC OCEAN","","-25.45","-25.45","-68.47","-68.47","SAE","","","s LEON MUERTO-1","VOL","/ NOT GIVEN [3992] ","","","","","","57.53","0.82","","18.89","","","","6.12","6.94","2.19","0.15","","1.76","3.68","0.35","","","","","","","","","","","","","","","","1.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.8","","","12","","","12","5.7","","","20","","","","","44","533","25","204","12.2","","","","","","","","","","","","1.55","560","25","54","6.6","27","5.9","1.7","5.4","0.86","4.8","0.93","2.6","0.37","2.5","0.37","5.16","0.72","","","","","","","","","8.9","","3.96","1.31","","","","","","","","","","","","","","","","","","","","","","","","","78853",
"[3992]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE/ARGENTINA / CERRO LEON MUERTO / PACIFIC OCEAN","","-25.45","-25.45","-68.47","-68.47","SAE","","","s LEON MUERTO-2","VOL","/ NOT GIVEN [3992] ","","","","","","55.15","0.98","","18.4","","","","7.46","7.44","3.37","0.16","","1.49","3.44","0.36","","","","","","","","","","","","","","","","1.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6","","","4","","","18","7","","","22","","","","","35","604","22","224","12.7","","","","","","","","","","","","1.24","516","25","54","6.7","28","6","1.8","5.4","0.84","4.6","0.85","2.4","0.32","2.2","0.34","5.4","0.83","","","","","","","","","12.1","","3.17","0.91","","","","","","","","","","","","","","","","","","","","","","","","","78854",
"[3992]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / CHILE/ARGENTINA / CERRO LEON MUERTO / PACIFIC OCEAN","","-25.45","-25.45","-68.47","-68.47","SAE","","","s LEON MUERTO-3","VOL","/ NOT GIVEN [3992] ","","","","","","57.29","1.23","","18.26","","","","8.68","7.94","3.65","0.16","","1.33","3.24","0.31","","","","","","","","","","","","","","","","1.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","","11","","","25","8","","","","","","","","32","537","26","196","","","","","","","","","","","","","","451","22","47","6.2","26","5.8","1.8","5.6","0.93","5.2","1","2.9","0.41","2.6","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78855",
"[3992]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO OVERO / PACIFIC OCEAN","","-23.52","-23.52","-68.32","-68.32","SAE","","","s 178-OVER-1-01","VOL","/ NOT GIVEN [3992] ","","","","","","55.01","0.94","","15.5","","","","7.5","7.7","7.26","0.12","","1.3","3.19","0.21","","","","","","","","","","","","","","","","0.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","","431","","","29","136","","","17","","","","","42","481","17","101","8","","","","","","","","","","","","","334","16","36","4.5","19","4.2","1.1","3.8","","3.4","0.65","1.8","0.28","1.7","0.29","6","","","","","","","","","","10","","1","5","","","","","","","","","","","","","","","","","","","","","","","","","78856",
"[3992]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO OVERO / PACIFIC OCEAN","","-23.52","-23.52","-68.32","-68.32","SAE","","","s 179-OVER-1-02","VOL","/ NOT GIVEN [3992] ","","","","","","54.89","0.98","","15.33","","","","7.71","8.17","6.96","0.14","","1.29","3.03","0.21","","","","","","","","","","","","","","","","0.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","","391","","","28","125","","","19","","","","","37","467","17","100","6.5","","","","","","","","","","","","1.04","331","16","35","4.3","18","4.2","1.2","3.7","0.63","3.3","0.65","1.8","0.28","1.7","0.26","3.09","1","","","","","","","","","6.65","","2.5","0.9","0.512477","","","0.70624","","","","","","","","","","","","","","","","","","","","","78857",
"[3992]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO OVERO / PACIFIC OCEAN","","-23.52","-23.52","-68.32","-68.32","SAE","","","s OVERO-1","VOL","/ NOT GIVEN [3992] ","","","","","","54.47","0.93","","15.99","","","","7.33","7.68","7.67","0.12","","1.21","3.45","0.2","","","","","","","","","","","","","","","","0.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","","413","","","34","141","","","19","","","","","29","512","17","120","6.5","","","","","","","","","","","","1.04","327","16","35","4.3","18","3.9","1.1","3.7","0.56","3.3","0.62","1.8","0.28","1.8","0.26","3.09","0.54","","","","","","","","","6.65","","2.5","0.9","","","","","","","","","","","","","","","","","","","","","","","","","78858",
"[3992]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO OVERO / PACIFIC OCEAN","","-23.52","-23.52","-68.32","-68.32","SAE","","","s OVERO-2","VOL","/ NOT GIVEN [3992] ","","","","","","53.86","0.97","","15.66","","","","7.39","7.63","7.5","0.12","","1.2","2.94","0.19","","","","","","","","","","","","","","","","0.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","","410","","","36","136","","","","","","","","30","486","17","119","","","","","","","","","","","","","","320","15","34","4.4","19","4.1","1.1","3.7","0.63","3.4","0.64","1.8","","1.7","0.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78859",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO PURICO / PACIFIC OCEAN","30 KM E OF VILLAGE OF SAN PEDRO DE ATACAMA","-22.95","-22.95","-67.75","-67.75","SAE","","5800","s 89","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.7","46.8","","23.8","5.5","1.43","5.7","0.96","","","","0.57","3.43","","","","","","","","","","","","","","","","0.512335","","","0.70755","","","","","","","","","","","","","","","","","","","","","80344",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO PURICO / PACIFIC OCEAN","30 KM E OF VILLAGE OF SAN PEDRO DE ATACAMA","-22.95","-22.95","-67.75","-67.75","SAE","","5800","s P2","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.7","56.1","","26.2","5.2","1.14","5.9","0.75","","","","0.36","2.21","","","","","","","","","","","","","","","","","","","0.70887","","","","","","","","","","","","","","","","","","","","","80345",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO PURICO / PACIFIC OCEAN","30 KM E OF VILLAGE OF SAN PEDRO DE ATACAMA","-22.95","-22.95","-67.75","-67.75","SAE","","5800","s 53","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.6","61.7","","32.4","6","1.37","5.3","0.85","","","","0.36","2.25","","","","","","","","","","","","","","","","0.512223","","","0.70903","","","","","","","","","","","","","","","","","","","","","80346",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO PURICO / PACIFIC OCEAN","30 KM E OF VILLAGE OF SAN PEDRO DE ATACAMA","-22.95","-22.95","-67.75","-67.75","SAE","","5800","s 49","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.3","51","","20.8","4.3","1.19","4.5","0.58","","","","0.28","1.71","","","","","","","","","","","","","","","","0.512271","","","0.70826","","","","","","","","","","","","","","","","","","","","","80347",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO PURICO / PACIFIC OCEAN","30 KM E OF VILLAGE OF SAN PEDRO DE ATACAMA","-22.95","-22.95","-67.75","-67.75","SAE","","5800","s 57","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.6","56.8","","26.4","5.1","1.13","6.1","0.74","","","","0.32","2.08","","","","","","","","","","","","","","","","","","","0.70817","","","","","","","","","","","","","","","","","","","","","80348",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / PURICO-CHASCON / PACIFIC OCEAN","ROCKS OF EL CHASCON, EL CERRILLO, CERRO ASPERO","-22.9","-23","-67.7","-67.8","SAE","","","s P4","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.8","63.8","","29.3","5.9","1.17","4.3","0.63","","","","0.23","1.62","","","","","","","","","","","","","","","","0.512298","","","0.70749","","","","","","","","","","","","","","","","","","","","","80349",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / PURICO-CHASCON / PACIFIC OCEAN","ROCKS OF EL CHASCON, EL CERRILLO, CERRO ASPERO","-22.9","-23","-67.7","-67.8","SAE","","","s 51","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.5","62.4","","28.9","5.6","1.11","5","0.62","","","","0.28","1.48","","","","","","","","","","","","","","","","","","","0.70806","","","","","","","","","","","","","","","","","","","","","80350",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO PURICO / PACIFIC OCEAN","30 KM E OF VILLAGE OF SAN PEDRO DE ATACAMA","-22.95","-22.95","-67.75","-67.75","SAE","","5800","s 58","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.5","55.6","","27","5.3","1.13","5.3","0.72","","","","0.44","2.18","","","","","","","","","","","","","","","","","","","0.70879","","","","","","","","","","","","","","","","","","","","","80351",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO PURICO / PACIFIC OCEAN","30 KM E OF VILLAGE OF SAN PEDRO DE ATACAMA","-22.95","-22.95","-67.75","-67.75","SAE","","5800","s 48D","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70849","","","","","","","","","","","","","","","","","","","","","80352",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO PURICO / PACIFIC OCEAN","30 KM E OF VILLAGE OF SAN PEDRO DE ATACAMA","-22.95","-22.95","-67.75","-67.75","SAE","","5800","s 55","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7082","","","","","","","","","","","","","","","","","","","","","80353",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO PURICO / PACIFIC OCEAN","30 KM E OF VILLAGE OF SAN PEDRO DE ATACAMA","-22.95","-22.95","-67.75","-67.75","SAE","","5800","s 46","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70814","","","","","","","","","","","","","","","","","","","","","80354",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO PURICO / PACIFIC OCEAN","30 KM E OF VILLAGE OF SAN PEDRO DE ATACAMA","-22.95","-22.95","-67.75","-67.75","SAE","","5800","s 54","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.6","82.4","","38.4","7","1.22","6.3","0.74","","","","0.31","1.62","","","","","","","","","","","","","","","","","","","0.70882","","","","","","","","","","","","","","","","","","","","","80355",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO PURICO / PACIFIC OCEAN","30 KM E OF VILLAGE OF SAN PEDRO DE ATACAMA","-22.95","-22.95","-67.75","-67.75","SAE","","5800","s 47","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.9","63.4","","29","5","1.14","5.1","0.59","","","","0.32","1.48","","","","","","","","","","","","","","","","0.512272","","","0.70803","","","","","","","","","","","","","","","","","","","","","80356",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / PURICO-CHASCON / PACIFIC OCEAN","ROCKS OF EL CHASCON, EL CERRILLO, CERRO ASPERO","-22.9","-23","-67.7","-67.8","SAE","","","s 52","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70791","","","","","","","","","","","","","","","","","","","","","80357",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / PURICO-CHASCON / PACIFIC OCEAN","ROCKS OF EL CHASCON, EL CERRILLO, CERRO ASPERO","-22.9","-23","-67.7","-67.8","SAE","","","s 59","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70701","","","","","","","","","","","","","","","","","","","","","80358",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / PURICO-CHASCON / PACIFIC OCEAN","ROCKS OF EL CHASCON, EL CERRILLO, CERRO ASPERO","-22.9","-23","-67.7","-67.8","SAE","","","s 60","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.2","61.9","","29.4","5.6","1.1","5.5","0.65","","","","0.28","1.53","","","","","","","","","","","","","","","","","","","0.70831","","","","","","","","","","","","","","","","","","","","","80359",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / PURICO-CHASCON / PACIFIC OCEAN","ROCKS OF EL CHASCON, EL CERRILLO, CERRO ASPERO","-22.9","-23","-67.7","-67.8","SAE","","","s 40","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7071","","","","","","","","","","","","","","","","","","","","","80360",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / PURICO-CHASCON / PACIFIC OCEAN","ROCKS OF EL CHASCON, EL CERRILLO, CERRO ASPERO","-22.9","-23","-67.7","-67.8","SAE","","","s 42","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.2","56.4","","25.2","4.9","0.93","","0.6","","","","0.42","2.27","","","","","","","","","","","","","","","","","","","0.70722","","","","","","","","","","","","","","","","","","","","","80361",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO PURICO / PACIFIC OCEAN","30 KM E OF VILLAGE OF SAN PEDRO DE ATACAMA","-22.95","-22.95","-67.75","-67.75","SAE","","5800","s 39","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.2","60.2","","27.4","5.7","1.1","7","0.79","","","","0.43","2.18","","","","","","","","","","","","","","","","","","","0.7087","","","","","","","","","","","","","","","","","","","","","80362",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / PURICO-CHASCON / PACIFIC OCEAN","ROCKS OF EL CHASCON, EL CERRILLO, CERRO ASPERO","-22.9","-23","-67.7","-67.8","SAE","","","s 43","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.5","64.5","","26.2","4.9","0.9","4.5","0.59","","","","0.41","2.15","","","","","","","","","","","","","","","","0.512276","","","0.70724","","","","","","","","","","","","","","","","","","","","","80363",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO PURICO / PACIFIC OCEAN","30 KM E OF VILLAGE OF SAN PEDRO DE ATACAMA","-22.95","-22.95","-67.75","-67.75","SAE","","5800","s P1","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.7","65.7","","28.1","5.8","1.01","","0.67","","","","0.34","1.94","","","","","","","","","","","","","","","","","","","0.7087","","","","","","","","","","","","","","","","","","","","","80364",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / PURICO-CHASCON / PACIFIC OCEAN","ROCKS OF EL CHASCON, EL CERRILLO, CERRO ASPERO","-22.9","-23","-67.7","-67.8","SAE","","","s 61","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512311","","","0.70693","","","","","","","","","","","","","","","","","","","","","80365",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO PURICO / PACIFIC OCEAN","30 KM E OF VILLAGE OF SAN PEDRO DE ATACAMA","-22.95","-22.95","-67.75","-67.75","SAE","","5800","s DJ9","VOL","/ IGNIMBRITE [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.9","67.3","","29.6","5.7","1.05","","0.62","","","","0.28","1.95","","","","","","","","","","","","","","","","","","","0.70862","","","","","","","","","","","","","","","","","","","","","80366",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO PURICO / PACIFIC OCEAN","30 KM E OF VILLAGE OF SAN PEDRO DE ATACAMA","-22.95","-22.95","-67.75","-67.75","SAE","","5800","s 56","VOL","/ DACITE [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.4","89.9","","41.1","7.4","1.08","","0.78","","","","0.37","1.81","","","","","","","","","","","","","","","","0.512218","","","0.70951","","","","","","","","","","","","","","","","","","","","","80367",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO PURICO / PACIFIC OCEAN","30 KM E OF VILLAGE OF SAN PEDRO DE ATACAMA","-22.95","-22.95","-67.75","-67.75","SAE","","5800","s 50","VOL","/ IGNIMBRITE [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70852","","","","","","","","","","","","","","","","","","","","","80368",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / PURICO-CHASCON / PACIFIC OCEAN","ROCKS OF EL CHASCON, EL CERRILLO, CERRO ASPERO","-22.9","-23","-67.7","-67.8","SAE","","","s 45","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70723","","","","","","","","","","","","","","","","","","","","","80369",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO PURICO / PACIFIC OCEAN","30 KM E OF VILLAGE OF SAN PEDRO DE ATACAMA","-22.95","-22.95","-67.75","-67.75","SAE","","5800","s 64","VOL","/ DACITE [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70871","","","","","","","","","","","","","","","","","","","","","80370",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO PURICO / PACIFIC OCEAN","30 KM E OF VILLAGE OF SAN PEDRO DE ATACAMA","-22.95","-22.95","-67.75","-67.75","SAE","","5800","s 48L","VOL","/ DACITE [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7095","","","","","","","","","","","","","","","","","","","","","80371",
"[4253]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / PURICO-CHASCON / PACIFIC OCEAN","ROCKS OF EL CHASCON, EL CERRILLO, CERRO ASPERO","-22.9","-23","-67.7","-67.8","SAE","","","s 63","VOL","/ NOT GIVEN [4253] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.4","59.9","","23.6","4.7","0.65","","0.45","","","","0.25","1.54","","","","","","","","","","","","","","","","0.51228","","","0.70791","","","","","","","","","","","","","","","","","","","","","80372",
